epoch,detection_loss,bbox_loss,total_loss,lr
0,0.4836891847987508,0.15885266830581565,0.642541853840961,0.001
1,0.3497598995996076,0.053522068790571635,0.4032819690399392,0.001
2,0.31526026320318845,0.04847439543105835,0.36373465889415074,0.001
3,0.28296402114075286,0.044579930083696234,0.3275439510511797,0.001
4,0.2580959774380506,0.0409783874096912,0.29907436512930446,0.001
5,0.24106270837229352,0.0391517480358828,0.280214456104955,0.001
6,0.2195692952982215,0.03710138312605924,0.2566706789440887,0.001
7,0.20090349884920342,0.03499469877935426,0.23589819756358169,0.001
8,0.1855291476429895,0.034263105088368405,0.21979225348941114,0.001
9,0.16750206243853236,0.032319729281372805,0.19982179184985716,0.001
10,0.15478796494561572,0.031224889854012533,0.1860128551894842,0.001
11,0.14502229134357253,0.03041139689035887,0.1754336881256381,0.001
12,0.1329378553687833,0.029337048833799916,0.16227490411594855,0.001
13,0.12298242990360704,0.028670114161836548,0.15165254421705424,0.001
14,0.10630268950101941,0.027704286194124888,0.13400697530528835,0.001
15,0.11175802592621294,0.02846116096127865,0.1402191873639822,0.001
16,0.09145153578110905,0.027227002001085947,0.11867853791214698,0.001
17,0.08295823982375305,0.025585513951819995,0.10854375353732774,0.001
18,0.07839689239166504,0.02548044506287159,0.10387733773609927,0.001
19,0.07030082749592703,0.025158157702102217,0.09545898489480795,0.001
20,0.06046108321048493,0.023914554903586936,0.08437563821153585,0.001
21,0.0562546057626605,0.02365995895897233,0.07991456491656082,0.001
22,0.050733660293613064,0.022965565107243006,0.07369922586651735,0.001
23,0.04480863752406697,0.0227018324441688,0.0675104700115531,0.001
24,0.040794980008328374,0.02239422661490565,0.06318920653659937,0.001
25,0.05365765474866643,0.02396156197023946,0.07761921629656193,0.001
26,0.031068151183209793,0.021806838153319998,0.05287498930945646,0.001
27,0.027479272980113014,0.020753754920131245,0.048233028003122916,0.001
28,0.021929137909589985,0.020366381485621598,0.04229551939250425,0.001
29,0.0235084023673174,0.020668818019763675,0.04417722033293441,0.001
30,0.02140866235158471,0.02087087781969891,0.042279540084648966,0.001
31,0.008268269185020133,0.018160077526645606,0.02642834669542174,0.0001
32,0.006364636621329673,0.01764877296464388,0.02401340957514422,0.0001
33,0.005664838576786827,0.01750289424604108,0.02316773291893823,0.0001
34,0.005152673645318637,0.017381007653162923,0.022533681341122058,0.0001
35,0.004964668116922122,0.01730638084023498,0.022271048829912446,0.0001
36,0.0045379119936030275,0.017204941282871852,0.02174285316276689,0.0001
37,0.0042739945902424145,0.017129762163169162,0.021403756674898917,0.0001
38,0.004095921248230044,0.017051676071660464,0.02114759726709751,0.0001
39,0.003954714931666764,0.01696558428798304,0.02092029912353948,0.0001
40,0.0037290983979568577,0.01690265935910649,0.020631757716453352,0.0001
41,0.0035716339656108515,0.01683036402560944,0.02040199802235462,0.0001
42,0.0034248105407324297,0.016772998507719402,0.02019780902408583,0.0001
