epoch,detection_loss,bbox_loss,total_loss,lr
0,0.6428582131389587,6.1022216554672,3.3725399460111345,0.001
1,0.6040668539584629,5.67123810450236,3.1376524595987227,0.001
2,0.5877395645966605,5.436964511871338,3.0123520313747347,0.001
3,0.5803448160489401,5.454863173621042,3.0176039877391996,0.001
4,0.5752007294268835,5.131925509089515,2.8535631251713585,0.001
5,0.5756827838837154,5.145701578685215,2.8606921793922546,0.001
6,0.5681815823865315,5.04981813922761,2.8089998600974915,0.001
7,0.5593977494845315,4.9243147032601495,2.741856226845393,0.001
8,0.5662159654829237,4.830926378568013,2.698571163510519,0.001
9,0.5637002819114261,4.77855484447782,2.6711275634311495,0.001
10,0.5584821592247675,4.695854160520765,2.627168165312873,0.001
11,0.5514377923238845,4.691902041435242,2.621669916879563,0.001
12,0.5565634071826935,4.615201914121235,2.5858826599423845,0.001
13,0.5452036569042812,4.551602395754012,2.5484030152124073,0.001
14,0.545282910267512,4.484292064394269,2.5147874818907843,0.001
15,0.536871936586168,4.407637529902988,2.4722547218913125,0.001
16,0.5397698415650262,4.4305394055351375,2.485154620238713,0.001
17,0.5377878745396932,4.328751308577401,2.433269594396864,0.001
18,0.5297337146032424,4.270700083838569,2.400216894490378,0.001
19,0.5317299595427891,4.22509673663548,2.3784133432403443,0.001
20,0.5338460050878071,4.224096303894406,2.378971152835422,0.001
21,0.5307742645816197,4.1880141912944735,2.3593942220248874,0.001
22,0.5263744401080268,4.082673559113155,2.304523990267799,0.001
23,0.5261364177105918,4.0585727332130315,2.2923545761713906,0.001
24,0.5200091113173773,3.980155980776227,2.2500825495946977,0.001
25,0.5176880179889618,4.044171526318505,2.2809297518124656,0.001
26,0.5194201459960331,3.8822830820840504,2.2008515984293013,0.001
27,0.5220888055979259,3.854460903576442,2.188274878358084,0.001
28,0.5156502085072654,3.8692950691495622,2.192472648999048,0.001
29,0.5117615087637826,3.6799618223356823,2.0958616705167863,0.001
30,0.5106833073354903,3.7060574709423006,2.10837037222726,0.001
31,0.5094219155254818,3.7363746696048312,2.1228983042732117,0.001
32,0.5109549472256313,3.8253920286420793,2.1681734843859597,0.001
33,0.5078671886807397,3.618772200175694,2.0633197057814825,0.001
34,0.5003932943892857,3.5219116854289223,2.0111524812758916,0.001
35,0.5091184013419681,3.576286866551354,2.04270262945266,0.001
36,0.5035920994622367,3.4299175550067234,1.9667548225039528,0.001
37,0.49800205703765626,3.4787626957136486,1.9883823848906017,0.001
38,0.49699856175316703,3.4446346598958213,1.9708166169741796,0.001
39,0.4954944650332133,3.3797654973136053,1.9376299901614114,0.001
40,0.4909886663395261,3.372229366075425,1.9316090194005815,0.001
41,0.4940304746703496,3.298882172221229,1.8964563239188421,0.001
42,0.49235553069720195,3.3003800066690596,1.8963677797998701,0.001
43,0.48911097598454306,3.325398634350489,1.9072548151016235,0.001
