epoch,detection_loss,bbox_loss,total_loss,lr
0,0.6452732014656067,7.350775579452515,3.998024377822876,0.001
1,0.6088303327560425,6.511736562728882,3.560283464431763,0.001
2,0.5968598580360412,6.181839290618896,3.389349588394165,0.001
3,0.5841671419143677,5.905056580543518,3.2446118583679198,0.001
4,0.5801270942687988,5.699312923431396,3.139720016479492,0.001
5,0.5739334950447083,5.630385696411133,3.1021596002578735,0.001
6,0.5710299365520477,5.518395612716675,3.044712781906128,0.001
7,0.5680724835395813,5.406044498443603,2.987058493614197,0.001
8,0.5624988377094269,5.343823822021484,2.953161340713501,0.001
9,0.5608917021751404,5.2982596492767335,2.929575674057007,0.001
10,0.5606320648193359,5.246544395446778,2.903588243484497,0.001
11,0.5574538414478302,5.190059339523315,2.8737565898895263,0.001
12,0.5561076238155365,5.143306219100952,2.84970694065094,0.001
13,0.5543237996101379,5.116638348579407,2.835481070518494,0.001
14,0.5516012854576111,5.021850860595703,2.7867260723114016,0.001
15,0.5546833393573761,5.018147482872009,2.7864154138565063,0.001
16,0.5491426272392272,4.93395056438446,2.7415465874671936,0.001
17,0.5469141926765442,4.889933195114136,2.7184237012863157,0.001
18,0.5477455794811249,4.853418696403503,2.7005821294784544,0.001
19,0.5462272987365723,4.801250301361084,2.6737388067245482,0.001
20,0.5429463498592376,4.796815555572509,2.6698809633255003,0.001
21,0.543851369857788,4.7354531583786015,2.6396522636413575,0.001
22,0.5431087584495544,4.699798320770264,2.621453533172607,0.001
23,0.5421533441543579,4.6425085535049435,2.592330958366394,0.001
24,0.5430141017436981,4.671173992156983,2.6070940465927124,0.001
25,0.540658445596695,4.654020160675048,2.5973393030166627,0.001
26,0.5396953749656678,4.582506857872009,2.561101107597351,0.001
27,0.5354482879638672,4.536771654129028,2.536109969139099,0.001
28,0.5391791954040527,4.570710912704468,2.554945056915283,0.001
29,0.5389197535514831,4.529002388000488,2.533961069583893,0.001
30,0.534899142742157,4.475494153976441,2.505196656227112,0.001
31,0.5384922235012054,4.511690880775451,2.525091558456421,0.001
32,0.5341163413524628,4.405225386619568,2.4696708660125735,0.001
33,0.5332766571044922,4.38669529914856,2.459985971927643,0.001
34,0.5301439414024353,4.379363092422485,2.4547535161972047,0.001
35,0.5314313204288482,4.379161081314087,2.455296209335327,0.001
36,0.5313575990200042,4.337620468139648,2.434489032745361,0.001
37,0.5318712964057922,4.3132922649383545,2.4225817737579347,0.001
38,0.5326604590415954,4.322009801864624,2.427335126876831,0.001
39,0.5299754102230072,4.269849522590637,2.3999124584198,0.001
40,0.5288103876113892,4.2262457103729245,2.377528054714203,0.001
41,0.5302298974990844,4.215041785240174,2.372635835647583,0.001
42,0.5306604218482971,4.242791469573975,2.3867259473800657,0.001
43,0.5287794487476349,4.243437155723572,2.3861082944869993,0.001
44,0.5271296241283416,4.21314345741272,2.370136528968811,0.001
45,0.5301571478843689,4.1415405864715575,2.3358488717079164,0.001
46,0.5253652822971344,4.153897228240967,2.3396312475204466,0.001
47,0.5270176322460175,4.182944869041443,2.3549812507629393,0.001
48,0.5242383024692535,4.102389548301697,2.3133139219284056,0.001
49,0.5307620298862458,4.151897589683533,2.3413298063278196,0.001
50,0.5258393619060516,4.051420928001404,2.2886301445961,0.001
51,0.523670993566513,4.066300294876099,2.294985651016235,0.001
52,0.5256383309364319,4.043368672370911,2.2845034976005554,0.001
53,0.5247392880916596,4.012212797164917,2.2684760389328003,0.001
54,0.5236056430339813,4.02115805721283,2.2723818454742433,0.001
55,0.5241889078617096,3.95322829914093,2.2387086038589477,0.001
56,0.523915540933609,4.001531510353089,2.262723532676697,0.001
57,0.5238983485698699,3.9632802333831787,2.243589285850525,0.001
58,0.5187846777439118,3.923391724586487,2.2210882034301758,0.001
59,0.5218952279090882,3.9359689922332763,2.228932114601135,0.001
60,0.5216271305084228,3.906460636138916,2.2140438842773436,0.001
61,0.5211194875240326,3.897648190498352,2.2093838357925417,0.001
62,0.5207697553634644,3.870016837120056,2.19539329624176,0.001
63,0.5200012929439545,3.8370053262710573,2.1785033111572267,0.001
64,0.5199999599456787,3.882934938430786,2.201467451095581,0.001
65,0.5163564422130584,3.8290960054397583,2.1727262182235716,0.001
66,0.519302409172058,3.831592468261719,2.1754474406242372,0.001
67,0.5171106419563294,3.7902099981307984,2.1536603126525877,0.001
68,0.5177283735275269,3.806052677154541,2.1618905239105226,0.001
69,0.5163158407211303,3.8695323848724366,2.192924113273621,0.001
70,0.5194876232147216,3.7869920711517335,2.1532398386001588,0.001
71,0.5161779294013977,3.7195320777893066,2.117854991912842,0.001
72,0.5191553585529327,3.7380720109939576,2.1286136932373045,0.001
73,0.5166752903461457,3.729606199264526,2.123140742301941,0.001
74,0.5136977875232697,3.730919673919678,2.122308737754822,0.001
75,0.5133582544326782,3.6848041324615477,2.0990811858177185,0.001
76,0.5130851397514343,3.694939208984375,2.1040121750831604,0.001
77,0.5127867639064789,3.6305487298965455,2.0716677370071412,0.001
78,0.5128471879959107,3.6609501304626466,2.0868986592292784,0.001
79,0.5130754053592682,3.6385180673599242,2.0757967348098756,0.001
80,0.5117229170799256,3.6361880569458007,2.0739554958343507,0.001
81,0.5134874293804169,3.6885259256362914,2.1010066719055174,0.001
82,0.5115214715003967,3.5929349193572997,2.052228186130524,0.001
83,0.5122941620349885,3.573971802711487,2.0431329765319823,0.001
84,0.5094465668201447,3.587256940841675,2.0483517484664917,0.001
85,0.5078341138362884,3.5808526458740233,2.044343376159668,0.001
86,0.5100136468410492,3.5788110589981077,2.0444123554229736,0.001
87,0.5096597952842712,3.519627591133118,2.0146436958312988,0.001
88,0.5137119765281677,3.5370951805114745,2.0254035754203796,0.001
89,0.508731700181961,3.5215842905044554,2.0151579957008363,0.001
90,0.5113482859134674,3.5262415351867675,2.0187949194908144,0.001
91,0.5068315432071686,3.497959164619446,2.0023953557014464,0.001
92,0.5077363500595092,3.542024221420288,2.0248802833557127,0.001
93,0.5077414944171905,3.493559557914734,2.0006505336761475,0.001
94,0.5084015858173371,3.5242912855148316,2.016346438884735,0.001
95,0.5084390261173248,3.44808198928833,1.9782604994773865,0.001
96,0.5089072089195251,3.4435753469467163,1.9762412848472595,0.001
97,0.505270628452301,3.4317367401123047,1.9685036811828613,0.001
98,0.5066769394874573,3.4593538188934327,1.983015380859375,0.001
99,0.5066450884342194,3.4152090072631838,1.960927047252655,0.001
100,0.5032446141242981,3.4394401664733887,1.971342393398285,0.001
101,0.5039710273742676,3.403558717727661,1.9537648668289185,0.001
102,0.5056139574050903,3.3918142127990722,1.9487140798568725,0.001
103,0.5067088534832,3.3531793775558474,1.929944106578827,0.001
104,0.5017613055706024,3.385012267112732,1.9433867921829224,0.001
105,0.5039412088394165,3.422058141708374,1.9629996795654296,0.001
106,0.5038447860479355,3.363974245071411,1.933909514427185,0.001
